from,to,dist,time
571AQ,571DC,39.008,66.87085714
571AQ,571CC,20.999,35.99828571
571AQ,571FQ,18.457,31.64057143
571AQ,571HK,31.542,54.072
571AQ,571E,32.922,56.43771429
571AQ,571EA,32.043,54.93085714
571AQ,571HB,10.524,18.04114286
571AQ,571KT,7.404,12.69257143
571AQ,571DB,33.77,57.89142857
571AQ,571DJ,31.346,53.736
571AQ,571H,29.476,50.53028571
571AQ,571TF,27.248,46.71085714
571AQ,571TQ,22.701,38.916
571AQ,571FF,32.298,55.368
571AQ,571FH,41.12,70.49142857
571AQ,571FL,33.965,58.22571429
571AQ,571FJ,142.974,245.0982857
571AQ,571SC,120.67,206.8628571
571AQ,571FG,46.457,79.64057143
571AQ,571MQ,26.494,45.41828571
571AQ,571NF,41.808,71.67085714
571AQ,571NG,45.109,77.32971429
571AQ,571FA,22.687,38.892
571AQ,571FP,21.919,37.57542857
571AQ,571HJ,27.863,47.76514286
571AQ,571LB,25.944,44.47542857
571AQ,571QKA,46.108,79.04228571
571AQ,571QKB,19.165,32.85428571
571AQ,571QKC,60.627,103.932
571AQ,571QKD,3.151,5.401714286
571AQ,571QKE,28.069,48.11828571
571AQ,571QKF,15.517,26.60057143
571AQ,571QKG,59.868,102.6308571
571AQ,571QKT,0,0
571AQ,571FM,28.616,49.056
571AQ,571FD,31.248,53.568
571AQ,571FR,40.583,69.57085714
571AQ,571FS,43.03,73.76571429
571AQ,571LH,28.336,48.576
571AQ,571SH,50.184,86.02971429
571AQ,571FK,91.036,156.0617143
571AQ,571G,69.181,118.596
571AQ,571GB,57.138,97.95085714
571AQ,571GC,73.621,126.2074286
571AQ,571HG,77.93,133.5942857
571AQ,571SB,66.132,113.3691429
571AQ,571SD,66.061,113.2474286
571AQ,571CK,28.641,49.09885714
571AQ,571CL,27.803,47.66228571
571AQ,571FB,27.064,46.39542857
571AQ,571CD,35.958,61.64228571
571AQ,571HN,52.602,90.17485714
571AQ,571J,32.685,56.03142857
571AQ,571JB,31.286,53.63314286
571AQ,571KA,25.323,43.41085714
571AQ,571KL,29.912,51.27771429
571AQ,571FE,20.891,35.81314286
571AQ,571MC,15.597,26.73771429
571AQ,571MF,18.405,31.55142857
571AQ,571M,19.906,34.12457143
571AQ,571MB,17.109,29.32971429
571AQ,571MD,31.207,53.49771429
571AQ,571NA,52.046,89.22171429
571AQ,571NE,46.505,79.72285714
571AQ,571NC,20.53,35.19428571
571AQ,571P,31.632,54.22628571
571AQ,571PB,17.349,29.74114286
571AQ,571PC,20.124,34.49828571
571AQ,571PD,37.677,64.58914286
571AQ,571AJ,34.22,58.66285714
571AQ,571KJ,33.615,57.62571429
571AQ,571PF,32.542,55.78628571
571AQ,571PG,52.07,89.26285714
571AQ,571PH,18.93,32.45142857
571AQ,571AE,61.707,105.7834286
571AQ,571HP,55.344,94.87542857
571AQ,571QF,60.483,103.6851429
571AQ,571QA,32.097,55.02342857
571AQ,571QC,39.016,66.88457143
571AQ,571QD,35.011,60.01885714
571AQ,571QE,36.913,63.27942857
571AQ,571QM,21.441,36.756
571AQ,571L,108.881,186.6531429
571AQ,571LA,107.393,184.1022857
571AQ,571SF,182.281,312.4817143
571AQ,571SA,160.885,275.8028571
571AQ,571SE,155.866,267.1988571
571AQ,571SP,176.458,302.4994286
571AQ,571SQ,135.718,232.6594286
